Dates,Hour,PvPower
18/05/13 ,1,0.022979
18/05/13 ,2,0.0232694
18/05/13 ,3,0.0237582
18/05/13 ,4,0.0239669
18/05/13 ,5,0.0235098
18/05/13 ,6,0.0273718
18/05/13 ,7,0.149876
18/05/13 ,8,1.21454
18/05/13 ,9,3.82661
18/05/13 ,10,6.72914
18/05/13 ,11,9.46311
18/05/13 ,12,10.5473
18/05/13 ,13,11.2797
18/05/13 ,14,11.6721
18/05/13 ,15,11.4112
18/05/13 ,16,10.6131
18/05/13 ,17,9.22958
18/05/13 ,18,7.35651
18/05/13 ,19,4.51897
18/05/13 ,20,0.808644
18/05/13 ,21,0.0534841
18/05/13 ,22,0.0237477
18/05/13 ,23,0.0229282
18/05/13 ,24,0.0228025
19/05/13 ,1,0.023177
19/05/13 ,2,0.0235394
19/05/13 ,3,0.0227892
19/05/13 ,4,0.023123
19/05/13 ,5,0.0233226
19/05/13 ,6,0.023732
19/05/13 ,7,0.175833
19/05/13 ,8,1.06798
19/05/13 ,9,2.76844
19/05/13 ,10,5.76323
19/05/13 ,11,8.56428
19/05/13 ,12,10.8791
19/05/13 ,13,10.56
19/05/13 ,14,6.54071
19/05/13 ,15,6.70041
19/05/13 ,16,9.76831
19/05/13 ,17,10.1939
19/05/13 ,18,8.11551
19/05/13 ,19,5.24413
19/05/13 ,20,1.41514
19/05/13 ,21,0.0567742
19/05/13 ,22,0.0242387
19/05/13 ,23,0.0242052
19/05/13 ,24,0.0239146
20/05/13 ,1,0.023825
20/05/13 ,2,0.0223418
20/05/13 ,3,0.0252193
20/05/13 ,4,0.0224995
20/05/13 ,5,0.0246507
20/05/13 ,6,0.0225678
20/05/13 ,7,0.662203
20/05/13 ,8,3.5756
20/05/13 ,9,6.78768
20/05/13 ,10,9.16468
20/05/13 ,11,10.701
20/05/13 ,12,11.7564
20/05/13 ,13,12.3287
20/05/13 ,14,12.4356
20/05/13 ,15,12.074
20/05/13 ,16,11.2941
20/05/13 ,17,9.96641
20/05/13 ,18,7.93408
20/05/13 ,19,5.1829
20/05/13 ,20,1.43888
20/05/13 ,21,0.0575689
20/05/13 ,22,0.0226426
20/05/13 ,23,0.0235422
20/05/13 ,24,0.0232593
21/05/13 ,1,0.0229407
21/05/13 ,2,0.0220468
21/05/13 ,3,0.0223832
21/05/13 ,4,0.0227514
21/05/13 ,5,0.0224419
21/05/13 ,6,0.0227737
21/05/13 ,7,0.746863
21/05/13 ,8,3.66479
21/05/13 ,9,6.81536
21/05/13 ,10,9.12985
21/05/13 ,11,10.691
21/05/13 ,12,11.5517
21/05/13 ,13,12.2159
21/05/13 ,14,12.0442
21/05/13 ,15,11.6046
21/05/13 ,16,11.1113
21/05/13 ,17,9.74146
21/05/13 ,18,7.44906
21/05/13 ,19,4.28864
21/05/13 ,20,0.935572
21/05/13 ,21,0.0650778
21/05/13 ,22,0.0228923
21/05/13 ,23,0.0228846
21/05/13 ,24,0.0228395
22/05/13 ,1,0.0226729
22/05/13 ,2,0.0229561
22/05/13 ,3,0.0217655
22/05/13 ,4,0.0238007
22/05/13 ,5,0.0224614
22/05/13 ,6,0.0263524
22/05/13 ,7,0.520733
22/05/13 ,8,3.30574
22/05/13 ,9,6.54003
22/05/13 ,10,8.58491
22/05/13 ,11,9.593
22/05/13 ,12,10.669
22/05/13 ,13,8.37948
22/05/13 ,14,10.5761
22/05/13 ,15,10.7344
22/05/13 ,16,8.5801
22/05/13 ,17,8.94212
22/05/13 ,18,6.72161
22/05/13 ,19,4.47718
22/05/13 ,20,1.24009
22/05/13 ,21,0.0524345
22/05/13 ,22,0.0231529
22/05/13 ,23,0.0225139
22/05/13 ,24,0.0235272
23/05/13 ,1,0.0245509
23/05/13 ,2,0.0234274
23/05/13 ,3,0.0243732
23/05/13 ,4,0.0229386
23/05/13 ,5,0.0231452
23/05/13 ,6,0.0231607
23/05/13 ,7,0.247228
23/05/13 ,8,2.31965
23/05/13 ,9,4.14853
23/05/13 ,10,6.54065
23/05/13 ,11,6.15715
23/05/13 ,12,7.14706
23/05/13 ,13,6.5009
23/05/13 ,14,6.93985
23/05/13 ,15,7.70763
