Dates,SetPoints,WindSpeed,WindDirection
01/05/2013 00:00,1.0,0.893285,110.277
01/05/2013 01:00,1.0,0.987144,95.8829
01/05/2013 02:00,1.0,1.54294,125.584
01/05/2013 03:00,1.0,1.31566,116.79
01/05/2013 04:00,1.0,1.04094,94.1407
01/05/2013 05:00,1.0,0.637526,89.7339
01/05/2013 06:00,1.0,0.595849,103.469
01/05/2013 07:00,1.0,0.595849,92.0269
01/05/2013 08:00,1.0,0.595849,108.66
01/05/2013 09:00,1.0,0.595849,107.454
01/05/2013 10:00,1.0,0.596989,116.528
01/05/2013 11:00,1.0,0.605286,290.118
01/05/2013 12:00,1.0,0.917053,195.629
01/05/2013 13:00,1.0,1.5886,282.784
01/05/2013 14:00,1.0,0.97051,194.47
01/05/2013 15:00,1.0,1.33822,237.858
01/05/2013 16:00,1.0,1.38771,277.298
01/05/2013 17:00,1.0,1.45739,231.905
01/05/2013 18:00,1.0,1.36496,116.452
01/05/2013 19:00,1.0,0.938543,83.8372
01/05/2013 20:00,1.0,0.687668,65.738
01/05/2013 21:00,1.0,2.15989,165.331
01/05/2013 22:00,1.0,1.37908,142.409
01/05/2013 23:00,1.0,0.789608,94.1395
02/05/2013 00:00,1.0,0.59767,93.7095
02/05/2013 01:00,1.0,0.39072,99.8383
02/05/2013 02:00,1.0,0.394994,97.463
02/05/2013 03:00,1.0,0.755639,95.8541
02/05/2013 04:00,1.0,0.778511,67.9119
02/05/2013 05:00,1.0,0.966219,59.6112
02/05/2013 06:00,1.0,0.917053,72.909
02/05/2013 07:00,1.0,0.74381,74.2159
02/05/2013 08:00,1.0,1.27326,166.765
02/05/2013 09:00,1.0,1.29368,188.725
02/05/2013 10:00,1.0,1.50107,254.212
02/05/2013 11:00,1.0,1.08099,246.602
02/05/2013 12:00,1.0,0.883425,250.54
02/05/2013 13:00,1.0,0.602968,246.773
02/05/2013 14:00,1.0,1.16874,262.007
02/05/2013 15:00,1.0,1.22837,234.447
02/05/2013 16:00,1.0,1.26074,233.996
02/05/2013 17:00,1.0,0.976304,266.736
02/05/2013 18:00,1.0,0.770859,107.314
02/05/2013 19:00,1.0,0.637689,87.646
02/05/2013 20:00,1.0,0.673993,92.3804
02/05/2013 21:00,1.0,0.687403,97.6085
02/05/2013 22:00,1.0,0.74413,74.6255
02/05/2013 23:00,1.0,0.77217,98.2163
03/05/2013 00:00,1.0,0.709646,108.08
03/05/2013 01:00,1.0,0.634921,114.826
03/05/2013 02:00,1.0,0.634921,110.567
03/05/2013 03:00,1.0,0.634921,96.2825
03/05/2013 04:00,1.0,0.669189,89.3149
03/05/2013 05:00,1.0,0.742206,84.5455
03/05/2013 06:00,1.0,0.654457,69.1775
03/05/2013 07:00,1.0,0.654457,64.5572
03/05/2013 08:00,1.0,0.58827,59.4842
03/05/2013 09:00,1.0,0.652015,64.6273
03/05/2013 10:00,1.0,0.898817,106.101
03/05/2013 11:00,1.0,0.828294,198.914
03/05/2013 12:00,1.0,0.930523,185.6
03/05/2013 13:00,1.0,1.0821,175.927
03/05/2013 14:00,1.0,1.32765,269.102
03/05/2013 15:00,1.0,1.23011,244.99
03/05/2013 16:00,1.0,1.23173,244.315
03/05/2013 17:00,1.0,1.12837,170.12
03/05/2013 18:00,1.0,1.1417,177.539
03/05/2013 19:00,1.0,0.58429,20.3141
03/05/2013 20:00,1.0,0.576313,20.7948
03/05/2013 21:00,1.0,0.576313,21.917
03/05/2013 22:00,1.0,0.576313,39.4728
03/05/2013 23:00,1.0,0.576313,79.4717
04/05/2013 00:00,1.0,0.543698,65.7479
04/05/2013 01:00,1.0,0.537241,68.3672
04/05/2013 02:00,1.0,0.537241,60.8452
04/05/2013 03:00,1.0,0.537241,49.62
04/05/2013 04:00,1.0,0.537241,40.428
04/05/2013 05:00,1.0,0.537241,28.2291
04/05/2013 06:00,1.0,0.537241,28.2291
04/05/2013 07:00,1.0,0.537241,28.2291
04/05/2013 08:00,1.0,0.606279,116.007
04/05/2013 09:00,1.0,0.794139,157.009
04/05/2013 10:00,1.0,0.91483,128.975
04/05/2013 11:00,1.0,0.875214,192.335
04/05/2013 12:00,1.0,1.1609,283.014
04/05/2013 13:00,1.0,1.4202,255.023
04/05/2013 14:00,1.0,1.74359,297.203
04/05/2013 15:00,1.0,1.6546,193.767
04/05/2013 16:00,1.0,2.61607,250.496
04/05/2013 17:00,1.0,2.2165,220.834
04/05/2013 18:00,1.0,2.05079,129.841
04/05/2013 19:00,1.0,1.78983,110.906
04/05/2013 20:00,1.0,1.74082,108.065
04/05/2013 21:00,1.0,1.13005,98.4007
04/05/2013 22:00,1.0,2.97676,172.771
04/05/2013 23:00,1.0,1.39122,94.4686
05/05/2013 00:00,1.0,1.32431,94.9562
05/05/2013 01:00,1.0,1.04307,88.3675
05/05/2013 02:00,1.0,0.793854,76.0263
05/05/2013 03:00,1.0,1.33451,91.2044
05/05/2013 04:00,0.9189,1.91193,108.213
05/05/2013 05:00,0.938926,1.84192,109.469
05/05/2013 06:00,0.896102,2.06724,108.955
05/05/2013 07:00,1.0,2.28962,118.289
05/05/2013 08:00,1.0,2.6601,181.272
05/05/2013 09:00,1.0,2.91982,161.182
05/05/2013 10:00,1.0,2.45243,185.967
05/05/2013 11:00,1.0,1.99396,179.667
05/05/2013 12:00,1.0,2.1882,201.875
05/05/2013 13:00,1.0,1.76557,186.345
05/05/2013 14:00,1.0,2.4119,211.478
05/05/2013 15:00,1.0,1.99788,202.386
05/05/2013 16:00,1.0,2.38058,229.558
05/05/2013 17:00,1.0,2.94802,243.882
05/05/2013 18:00,1.0,1.95675,183.253
05/05/2013 19:00,1.0,1.34847,170.451
05/05/2013 20:00,1.0,0.802117,80.7114
05/05/2013 21:00,1.0,0.908913,91.0373
05/05/2013 22:00,1.0,0.79217,89.575
05/05/2013 23:00,1.0,0.777799,87.7288
06/05/2013 00:00,1.0,0.820513,101.975
06/05/2013 01:00,1.0,0.66365,113.03
06/05/2013 02:00,1.0,0.185592,117.022
06/05/2013 03:00,1.0,0.359758,104.57
06/05/2013 04:00,1.0,0.820513,99.9604
06/05/2013 05:00,1.0,0.820513,101.788
06/05/2013 06:00,1.0,0.820513,97.4911
06/05/2013 07:00,1.0,0.632519,107.336
06/05/2013 08:00,1.0,0.40678,96.0929
06/05/2013 09:00,1.0,0.733562,99.664
06/05/2013 10:00,1.0,0.900313,192.123
06/05/2013 11:00,1.0,1.36,237.912
06/05/2013 12:00,1.0,1.70328,226.669
06/05/2013 13:00,1.0,2.09068,227.485
06/05/2013 14:00,1.0,1.68596,265.003
06/05/2013 15:00,1.0,2.57843,332.46
06/05/2013 16:00,1.0,2.34335,273.102
06/05/2013 17:00,1.0,1.97106,247.83
06/05/2013 18:00,1.0,2.36998,198.832
06/05/2013 19:00,1.0,2.50591,171.307
06/05/2013 20:00,1.0,1.59251,99.1668
06/05/2013 21:00,1.0,0.771839,81.4687
06/05/2013 22:00,1.0,0.85405,90.2599
06/05/2013 23:00,1.0,0.903461,85.0565
07/05/2013 00:00,1.0,0.792202,76.7035
07/05/2013 01:00,1.0,0.786995,69.0238
07/05/2013 02:00,1.0,0.944241,99.2108
07/05/2013 03:00,1.0,0.675259,87.8984
07/05/2013 04:00,1.0,0.673993,87.7073
07/05/2013 05:00,1.0,0.647571,81.6188
07/05/2013 06:00,1.0,0.857764,80.329
07/05/2013 07:00,1.0,1.10085,91.3207
07/05/2013 08:00,1.0,0.881683,81.3889
07/05/2013 09:00,1.0,0.763696,82.4955
07/05/2013 10:00,1.0,1.31289,195.294
07/05/2013 11:00,1.0,0.973057,144.234
07/05/2013 12:00,1.0,1.08121,163.381
07/05/2013 13:00,1.0,1.80609,255.592
07/05/2013 14:00,1.0,1.59395,260.835
07/05/2013 15:00,1.0,2.23224,295.514
07/05/2013 16:00,1.0,1.81781,283.387
07/05/2013 17:00,1.0,1.37,214.653
07/05/2013 18:00,1.0,1.29931,128.162
07/05/2013 19:00,1.0,0.822467,96.6655
07/05/2013 20:00,1.0,0.615385,88.8105
07/05/2013 21:00,1.0,0.615385,78.8882
07/05/2013 22:00,1.0,0.615385,93.6219
07/05/2013 23:00,1.0,0.615385,96.0562
08/05/2013 00:00,1.0,0.615385,80.2161
08/05/2013 01:00,1.0,0.615385,80.2161
08/05/2013 02:00,1.0,0.615385,94.1699
08/05/2013 03:00,1.0,0.588846,69.5785
08/05/2013 04:00,1.0,0.62092,99.2503
08/05/2013 05:00,1.0,0.501099,93.5533
08/05/2013 06:00,1.0,0.558218,86.922
08/05/2013 07:00,1.0,0.595849,75.2933
08/05/2013 08:00,1.0,0.595849,68.0303
08/05/2013 09:00,1.0,0.823443,220.979
08/05/2013 10:00,1.0,0.673993,37.3391
08/05/2013 11:00,1.0,0.678714,46.5385
08/05/2013 12:00,1.0,0.752463,78.5986
08/05/2013 13:00,1.0,1.10329,105.557
08/05/2013 14:00,1.0,1.25783,161.997
08/05/2013 15:00,1.0,1.7647,167.484
08/05/2013 16:00,1.0,3.02955,164.5
08/05/2013 17:00,1.0,4.44396,182.568
08/05/2013 18:00,1.0,5.14448,162.728
08/05/2013 19:00,1.0,5.45966,186.1
08/05/2013 20:00,1.0,4.94571,177.298
08/05/2013 21:00,1.0,3.67082,175.733
08/05/2013 22:00,1.0,2.4153,145.513
08/05/2013 23:00,1.0,0.887912,89.7456
09/05/2013 00:00,1.0,0.506335,109.305
09/05/2013 01:00,1.0,0.796288,92.3125
09/05/2013 02:00,1.0,0.833944,101.035
09/05/2013 03:00,1.0,0.860875,106.697
09/05/2013 04:00,1.0,0.670249,134.009
09/05/2013 05:00,1.0,0.603012,126.091
09/05/2013 06:00,1.0,0.498169,62.9558
09/05/2013 07:00,1.0,0.498169,128.973
09/05/2013 08:00,1.0,0.473349,22.3612
09/05/2013 09:00,1.0,0.536413,74.845
09/05/2013 10:00,1.0,0.846724,174.06
09/05/2013 11:00,1.0,0.76044,237.893
09/05/2013 12:00,1.0,0.897192,221.117
09/05/2013 13:00,1.0,0.774766,186.468
09/05/2013 14:00,1.0,0.957265,173.177
09/05/2013 15:00,1.0,1.19402,246.98
09/05/2013 16:00,1.0,0.811225,231.531
09/05/2013 17:00,1.0,0.73376,166.111
09/05/2013 18:00,1.0,0.603663,151.037
09/05/2013 19:00,1.0,0.853724,215.061
09/05/2013 20:00,1.0,0.840049,86.7035
09/05/2013 21:00,1.0,0.849166,191.572
09/05/2013 22:00,1.0,0.952381,291.26
09/05/2013 23:00,1.0,0.571266,102.116
10/05/2013 00:00,1.0,0.29304,34.0984
10/05/2013 01:00,1.0,0.29304,160.173
10/05/2013 02:00,1.0,0.29304,239.938
10/05/2013 03:00,1.0,0.29304,261.416
10/05/2013 04:00,1.0,0.29304,351.461
10/05/2013 05:00,1.0,0.458135,289.176
10/05/2013 06:00,1.0,0.98988,175.918
10/05/2013 07:00,1.0,0.872555,195.775
10/05/2013 08:00,1.0,1.63175,225.782
10/05/2013 09:00,1.0,2.80214,248.954
10/05/2013 10:00,1.0,2.91624,248.828
10/05/2013 11:00,1.0,1.68791,247.897
10/05/2013 12:00,1.0,1.10991,245.382
10/05/2013 13:00,1.0,0.778398,264.425
10/05/2013 14:00,1.0,2.7987,250.486
10/05/2013 15:00,1.0,1.24766,257.298
10/05/2013 16:00,1.0,1.13162,231.595
10/05/2013 17:00,1.0,0.866586,261.566
10/05/2013 18:00,1.0,1.33545,247.362
10/05/2013 19:00,1.0,0.752951,229.053
10/05/2013 20:00,1.0,0.708098,173.954
10/05/2013 21:00,1.0,0.634921,129.744
10/05/2013 22:00,1.0,0.634921,118.206
10/05/2013 23:00,1.0,0.634921,83.1221
11/05/2013 00:00,1.0,0.634921,94.1256
11/05/2013 01:00,1.0,0.634921,88.6357
11/05/2013 02:00,1.0,0.634921,87.48
11/05/2013 03:00,1.0,0.634921,93.1366
11/05/2013 04:00,1.0,0.739601,101.99
11/05/2013 05:00,1.0,0.847212,144.69
11/05/2013 06:00,1.0,1.09565,116.151
11/05/2013 07:00,1.0,2.06561,182.565
11/05/2013 08:00,1.0,1.86969,195.775
11/05/2013 09:00,1.0,1.71288,158.992
11/05/2013 10:00,1.0,2.24808,253.563
11/05/2013 11:00,1.0,2.64846,325.866
11/05/2013 12:00,1.0,2.42775,322.707
11/05/2013 13:00,1.0,3.01782,322.478
11/05/2013 14:00,1.0,2.8998,312.59
11/05/2013 15:00,1.0,3.30989,323.858
11/05/2013 16:00,1.0,3.25356,306.963
11/05/2013 17:00,1.0,3.50281,323.508
11/05/2013 18:00,1.0,3.47937,296.692
11/05/2013 19:00,1.0,3.00342,253.426
11/05/2013 20:00,1.0,2.89166,179.659
11/05/2013 21:00,1.0,3.55458,251.266
11/05/2013 22:00,0.958049,4.52064,218.863
11/05/2013 23:00,0.851265,4.6999,230.506
12/05/2013 00:00,0.749742,4.3474,225.2
12/05/2013 01:00,0.676309,3.54383,219.363
12/05/2013 02:00,0.566142,3.19638,252.593
12/05/2013 03:00,0.50995,3.41659,243.275
12/05/2013 04:00,0.505222,3.86325,211.737
12/05/2013 05:00,0.515134,2.73814,151.277
12/05/2013 06:00,0.76447,1.77175,116.609
12/05/2013 07:00,1.0,0.751486,87.8944
12/05/2013 08:00,1.0,1.02873,199.542
12/05/2013 09:00,1.0,1.03813,212.563
12/05/2013 10:00,1.0,1.10561,235.216
12/05/2013 11:00,1.0,1.2881,330.156
12/05/2013 12:00,1.0,0.976635,289.937
12/05/2013 13:00,1.0,1.25287,328.65
12/05/2013 14:00,1.0,1.02776,297.996
12/05/2013 15:00,1.0,0.791714,237.255
12/05/2013 16:00,1.0,0.876842,296.797
12/05/2013 17:00,1.0,0.859425,206.684
12/05/2013 18:00,1.0,0.776309,174.556
12/05/2013 19:00,1.0,0.442165,120.312
12/05/2013 20:00,1.0,0.499989,318.549
12/05/2013 21:00,1.0,0.85405,317.976
12/05/2013 22:00,1.0,0.898657,318.091
12/05/2013 23:00,1.0,1.00544,323.475
13/05/2013 00:00,1.0,0.770859,219.532
13/05/2013 01:00,1.0,0.777994,181.583
13/05/2013 02:00,1.0,0.926333,268.05
13/05/2013 03:00,1.0,0.60833,216.346
13/05/2013 04:00,1.0,0.724915,312.483
13/05/2013 05:00,1.0,0.791209,303.814
13/05/2013 06:00,1.0,0.912007,332.951
13/05/2013 07:00,1.0,0.676923,316.164
13/05/2013 08:00,1.0,0.890379,305.319
13/05/2013 09:00,1.0,1.02141,291.88
13/05/2013 10:00,1.0,1.30501,309.462
13/05/2013 11:00,1.0,1.0811,297.008
13/05/2013 12:00,1.0,1.09288,293.787
13/05/2013 13:00,1.0,1.50655,273.566
13/05/2013 14:00,1.0,1.39113,258.471
13/05/2013 15:00,1.0,0.677575,150.188
13/05/2013 16:00,0.377777,0.0,13.5009
13/05/2013 17:00,0.333333,0.0,13.5009
13/05/2013 18:00,0.811111,0.0,13.5009
13/05/2013 19:00,1.0,0.0,13.5009
13/05/2013 20:00,1.0,0.0,13.5009
13/05/2013 21:00,1.0,0.0,13.5009
13/05/2013 22:00,1.0,0.0,13.5009
13/05/2013 23:00,1.0,0.0,13.5009
14/05/2013 00:00,0.809397,0.0,13.5009
14/05/2013 01:00,0.847449,0.0,13.5009
14/05/2013 02:00,1.0,0.0,13.5009
14/05/2013 03:00,0.344006,0.0,13.5009
14/05/2013 04:00,0.280207,0.0,13.5009
14/05/2013 05:00,0.287224,0.0,13.5009
14/05/2013 06:00,0.524762,0.0,13.5009
14/05/2013 07:00,0.768663,0.0,13.5009
14/05/2013 08:00,1.0,1.67738,13.5009
14/05/2013 09:00,1.0,4.81563,13.5009
14/05/2013 10:00,1.0,4.81563,13.5009
14/05/2013 11:00,1.0,4.81563,13.5009
14/05/2013 12:00,1.0,4.81563,13.5009
14/05/2013 13:00,1.0,4.81563,13.5009
14/05/2013 14:00,1.0,4.81563,13.5009
14/05/2013 15:00,1.0,4.81563,13.5009
14/05/2013 16:00,1.0,4.81563,13.5009
14/05/2013 17:00,1.0,4.81563,13.5009
14/05/2013 18:00,1.0,4.81563,13.5009
14/05/2013 19:00,1.0,4.81563,13.5009
14/05/2013 20:00,1.0,4.81563,13.5009
14/05/2013 21:00,1.0,4.81563,13.5009
14/05/2013 22:00,1.0,4.81563,13.5009
14/05/2013 23:00,1.0,4.81563,13.5009
15/05/2013 00:00,1.0,4.81563,13.5009
15/05/2013 01:00,0.722502,4.81563,13.5009
15/05/2013 02:00,0.500099,4.81563,13.5009
15/05/2013 03:00,0.488269,4.81563,13.5009
15/05/2013 04:00,0.485947,4.81563,13.5009
15/05/2013 05:00,0.503617,4.81563,13.5009
15/05/2013 06:00,0.910128,4.81563,13.5009
15/05/2013 07:00,1.0,4.81563,13.5009
15/05/2013 08:00,1.0,4.81563,13.5009
15/05/2013 09:00,1.0,4.81563,13.5009
15/05/2013 10:00,1.0,4.81563,13.5009
15/05/2013 11:00,1.0,4.81563,13.5009
15/05/2013 12:00,1.0,4.81563,13.5009
15/05/2013 13:00,1.0,4.81563,13.5009
15/05/2013 14:00,1.0,4.81563,13.5009
15/05/2013 15:00,1.0,4.81563,13.5009
15/05/2013 16:00,1.0,4.81563,13.5009
15/05/2013 17:00,1.0,4.81563,13.5009
15/05/2013 18:00,1.0,4.81563,13.5009
15/05/2013 19:00,1.0,4.81563,13.5009
15/05/2013 20:00,1.0,4.81563,13.5009
15/05/2013 21:00,1.0,4.81563,13.5009
15/05/2013 22:00,1.0,4.81563,13.5009
15/05/2013 23:00,1.0,4.81563,13.5009
16/05/2013 00:00,1.0,4.81563,13.5009
16/05/2013 01:00,1.0,4.81563,13.5009
16/05/2013 02:00,1.0,4.81563,13.5009
16/05/2013 03:00,1.0,4.81563,13.5009
16/05/2013 04:00,1.0,4.81563,13.5009
16/05/2013 05:00,1.0,4.81563,13.5009
16/05/2013 06:00,1.0,4.81563,13.5009
16/05/2013 07:00,1.0,4.81563,13.5009
16/05/2013 08:00,1.0,4.81563,13.5009
16/05/2013 09:00,1.0,4.81563,13.5009
16/05/2013 10:00,1.0,4.81563,13.5009
16/05/2013 11:00,1.0,4.81563,13.5009
16/05/2013 12:00,1.0,4.81563,13.5009
16/05/2013 13:00,1.0,6.8311,13.5009
16/05/2013 14:00,0.988889,11.7677,13.2758
16/05/2013 15:00,1.0,4.89377,13.5009
16/05/2013 16:00,1.0,4.89377,13.5009
16/05/2013 17:00,1.0,4.89377,13.5009
16/05/2013 18:00,1.0,4.89377,13.5009
16/05/2013 19:00,0.955556,4.81355,13.2795
16/05/2013 20:00,1.0,4.89377,13.5009
16/05/2013 21:00,1.0,4.89377,13.5009
16/05/2013 22:00,1.0,4.89377,13.5009
16/05/2013 23:00,1.0,4.89377,13.5009
17/05/2013 00:00,1.0,4.89377,13.5009
17/05/2013 01:00,1.0,4.89377,13.5009
17/05/2013 02:00,1.0,4.89377,13.5009
17/05/2013 03:00,0.926258,4.89377,13.5009
17/05/2013 04:00,1.0,4.89377,13.5009
17/05/2013 05:00,0.782717,4.89377,13.5009
17/05/2013 06:00,0.898453,4.89377,13.5009
17/05/2013 07:00,0.82663,4.89377,13.5009
17/05/2013 08:00,1.0,4.89377,13.5009
17/05/2013 09:00,1.0,4.89377,13.5009
17/05/2013 10:00,1.0,4.89377,13.5009
17/05/2013 11:00,1.0,4.89377,13.5009
17/05/2013 12:00,0.969621,4.89377,13.5009
17/05/2013 13:00,0.993226,4.89377,13.5009
17/05/2013 14:00,1.0,4.89377,13.5009
17/05/2013 15:00,1.0,4.89377,13.5009
17/05/2013 16:00,1.0,4.89377,13.5009
17/05/2013 17:00,1.0,4.89377,13.5009
17/05/2013 18:00,1.0,4.89377,13.5009
17/05/2013 19:00,1.0,4.89377,13.5009
17/05/2013 20:00,1.0,4.89377,13.5009
17/05/2013 21:00,1.0,4.89377,13.5009
17/05/2013 22:00,1.0,4.89377,13.5009
17/05/2013 23:00,1.0,4.89377,13.5009
18/05/2013 00:00,1.0,4.89377,13.5009
18/05/2013 01:00,1.0,4.89377,13.5009
18/05/2013 02:00,0.909385,4.89377,13.5009
18/05/2013 03:00,0.770116,4.89377,13.5009
